6,346,244,443, "STAR"
256,351,495,448, "WARS"
57,458,145,482, "EPISODE"
154,460,174,482, "II:"
188,460,269,483, "ATTACK"
276,461,302,485, "OF"
311,463,350,485, "THE"
360,463,441,488, "CLONES"
6,691,244,886, "STAR"
256,701,495,896, "WARS"
57,916,145,963, "EPISODE"
154,919,174,963, "II:"
188,919,269,966, "ATTACK"
276,923,302,970, "OF"
311,926,350,970, "THE"
360,926,441,977, "CLONES"
6,691,244,886, "STAR"
256,701,495,896, "WARS"
57,916,145,963, "EPISODE"
154,919,174,963, "II:"
188,919,269,966, "ATTACK"
276,923,302,970, "OF"
311,926,350,970, "THE"
360,926,441,977, "CLONES"
6,691,244,886, "STAR"
256,701,495,896, "WARS"
57,916,145,963, "EPISODE"
154,919,174,963, "II:"
188,919,269,966, "ATTACK"
276,923,302,970, "OF"
311,926,350,970, "THE"
360,926,441,977, "CLONES"
6,691,244,886, "STAR"
256,701,495,896, "WARS"
57,916,145,963, "EPISODE"
154,919,174,963, "II:"
188,919,269,966, "ATTACK"
276,923,302,970, "OF"
311,926,350,970, "THE"
360,926,441,977, "CLONES"
6,691,244,886, "STAR"
256,701,495,896, "WARS"
57,916,145,963, "EPISODE"
154,919,174,963, "II:"
188,919,269,966, "ATTACK"
276,923,302,970, "OF"
311,926,350,970, "THE"
360,926,441,977, "CLONES"
