132,61,158,74, "Bernd"
162,60,187,71, "Reuse"
133,77,163,91, "Roland"
166,75,200,87, "Vollmar"
203,73,226,85, "(Hrsg.)"
138,175,308,212, "Informatikforschung"
140,223,154,243, "in"
160,206,266,241, "Deutschland"
297,422,335,441, "Springer"
132,122,158,147, "Bernd"
162,121,187,142, "Reuse"
133,154,163,181, "Roland"
166,150,200,174, "Vollmar"
203,146,226,170, "(Hrsg.)"
138,350,308,424, "Informatikforschung"
140,446,154,487, "in"
160,413,266,481, "Deutschland"
297,845,335,881, "Springer"
132,122,158,147, "Bernd"
162,121,187,142, "Reuse"
133,154,163,181, "Roland"
166,150,200,174, "Vollmar"
203,146,226,170, "(Hrsg.)"
138,350,308,424, "Informatikforschung"
140,446,154,487, "in"
160,413,266,481, "Deutschland"
297,845,335,881, "Springer"
132,122,158,147, "Bernd"
162,121,187,142, "Reuse"
133,154,163,181, "Roland"
166,150,200,174, "Vollmar"
203,146,226,170, "(Hrsg.)"
138,350,308,424, "Informatikforschung"
140,446,154,487, "in"
160,413,266,481, "Deutschland"
297,845,335,881, "Springer"
132,122,158,147, "Bernd"
162,121,187,142, "Reuse"
133,154,163,181, "Roland"
166,150,200,174, "Vollmar"
203,146,226,170, "(Hrsg.)"
138,350,308,424, "Informatikforschung"
140,446,154,487, "in"
160,413,266,481, "Deutschland"
297,845,335,881, "Springer"
132,122,158,147, "Bernd"
162,121,187,142, "Reuse"
133,154,163,181, "Roland"
166,150,200,174, "Vollmar"
203,146,226,170, "(Hrsg.)"
138,350,308,424, "Informatikforschung"
140,446,154,487, "in"
160,413,266,481, "Deutschland"
297,845,335,881, "Springer"
